,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.07,20429082.95,,1.43,23327.55,2553421784.33,29.65,895.62,6757.16,13945.62,20521.18,191166.68,337860.68,29237283.14,4.88,142.04,163788568.4
PRES_0_1,1.0,1.08,,,1.43,23706.36,2116880560.84,29.76,871.23,6824.5,14172.08,20627.74,194270.96,343347.08,26740850.83,4.85,144.18,166448269.9
PRES_0_0,1.0,,1376078075.71,,1.48,,,24.31,2206.66,,,,,,196938768.25,6.98,,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.07,20960589.96,,1.56,,,28.32,968.25,6718.75,15246.71,20484.81,161951.75,369382.07,29834031.39,4.85,146.48,174478021.81
DEWP_1_0,1.0,1.08,,,,285871.91,,45.38,123.52,7044.97,,20674.88,464670.52,,,5.15,98.21,
DEWP_0_0,1.0,0.86,,,,,486507828877.46,,,,,,1229934.21,,,6.89,,
WSPM_0_1,1.0,1.07,16870275.43,,1.36,35989.16,,65.26,,,,12298.3,26430.09,,,4.94,139.55,166619843.95
WSPM_0_2,1.0,1.04,49001740.62,,1.54,3038.44,,,4778.04,,,5643.62,,,,4.79,149.57,
WSPM_0_0,1.0,1.07,,,1.41,23999.85,,,,39087.88,,74087.48,213626.81,,,4.99,135.57,
WSPM_0_3,1.0,1.08,,,1.56,,,,,,149307.39,3332.93,,,,4.1,195.66,479201037.0
WSPM_1_0,1.0,1.07,,,1.42,23861.56,,16.25,232.68,25968.71,2467.52,67767.05,,,,4.89,143.05,
WSPM_1_1,1.0,1.08,,,1.21,56702.48,18265659748.29,6.23,,5087.67,,,3258451.3,,,5.47,105.74,
WSPM_0_4,1.0,1.08,,,1.56,,,,,,,,,8078814.01,,4.76,111.2,
WSPM_1_2,1.0,0.98,138666329.17,,1.48,,,,,,,,,,1970755312.88,6.84,,
PM10_0,1.0,1.06,29200288.32,,1.42,24817.81,3695832615.98,29.76,869.97,6903.13,11616.22,21552.59,220200.91,333452.86,41650979.11,6.73,32.8,
PM10_1,1.0,1.08,,,1.47,16016.36,,29.71,973.77,6551.87,19447.35,17326.14,128238.45,261321.46,,1.13,406.91,181231482.43
PM10_2,1.0,1.08,,,1.52,,,24.85,,,36915.3,,,,,,163.46,10689869286.86
