,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.36,0.81,0.64,1.47,1.01,0.89,1.08,0.51,0.72,0.44,0.44,2.14,0.82,1.21,0.87,0.68,1.03,0.9,1.0
sky is clear,0.61,2.09,,0.95,1.68,0.22,1.13,,,,,,1.13,1.17,0.96,1.94,1.01,1.06,0.98
mist,0.92,0.19,2.31,0.24,,1.73,,2.03,2.12,3.02,2.0,,1.0,0.47,1.31,,0.98,1.09,1.05
broken clouds,0.9,1.31,0.3,1.69,1.47,0.49,1.91,0.42,,,,,0.99,1.23,0.9,1.42,1.01,1.0,0.97
few clouds,0.71,1.74,0.3,1.26,2.17,,1.74,,,,,,0.87,1.45,0.65,2.29,0.98,0.88,0.94
light rain,1.32,,2.1,0.47,,2.13,,2.44,2.56,1.66,3.37,,1.25,0.6,1.24,,0.95,1.13,1.07
scattered clouds,0.81,1.52,,1.45,1.32,,2.07,,,,,,1.06,1.29,0.6,2.17,0.96,0.82,0.9
light intensity drizzle,1.39,,1.93,0.52,,2.21,,2.64,2.28,,2.73,,1.26,,1.54,,0.94,1.1,1.02
moderate rain,1.31,,2.35,,,2.48,,2.85,3.26,,4.34,,1.18,,,,1.05,1.1,1.05
haze,1.02,,2.2,,,,,1.89,,5.19,,,,,,,1.04,0.77,0.98
drizzle,1.18,,2.46,,,2.58,,3.09,3.2,,4.11,,1.35,,,,0.87,1.19,1.1
fog,,,2.46,,,2.03,,,,,,,,,,,1.02,1.23,1.1
heavy snow,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,
temp_4,1.08,0.99,1.15,0.99,0.86,1.19,0.84,1.46,1.14,0.58,1.38,,1.29,0.57,0.97,0.82,1.01,0.97,0.99
temp_3,1.1,0.92,0.85,1.0,1.04,0.9,1.03,0.7,0.93,1.03,1.24,2.93,0.81,1.89,,0.99,1.0,1.05,1.06
temp_5,0.95,0.66,1.34,0.86,0.81,1.24,0.93,1.07,1.43,2.32,,,0.68,0.23,3.02,,1.07,0.94,0.96
temp_2,0.62,1.76,,1.58,2.07,,2.03,,,,,,0.9,1.69,,4.87,0.87,1.25,0.98
temp_6,,1.82,,0.71,0.98,,,,,,,,0.96,,1.77,,0.85,0.6,0.71
temp_7,,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.94,1.06,1.1,0.96,0.96,1.07,1.05,1.13,1.07,1.05,1.03,1.05,0.98,1.06,1.07,1.25,1.04,1.13,0.99
traffic_volume_0,1.06,0.92,0.86,1.09,1.07,0.88,0.96,0.8,0.9,0.9,1.02,,1.04,0.86,1.06,0.64,1.05,1.16,1.04
traffic_volume_1,1.05,0.96,0.97,0.97,1.01,1.01,0.94,0.99,0.98,1.01,0.9,1.44,0.99,1.05,0.78,0.93,0.86,0.56,0.96
